CoC,Count,"Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
MA-507,374,77,238,315,59,206,33,141,174,32,168,44,97,141,27,60,13,36,49,11,40,22,18
MA-508,432,231,187,418,14,208,126,68,194,14,224,105,119,224,0,75,29,46,75,0,143,129,14
MA-509,432,266,110,376,56,346,191,99,290,56,86,75,11,86,0,33,28,5,33,0,200,144,56
MA-510,606,325,259,584,22,328,133,173,306,22,278,192,86,278,0,98,66,32,98,0,91,69,22
MA-511,934,566,253,819,115,419,169,135,304,115,515,397,118,515,0,184,142,42,184,0,167,61,106
MA-514,747,502,73,575,172,225,133,73,206,19,522,369,0,369,153,196,135,0,135,61,108,89,19
MA-515,153,64,75,139,14,108,40,54,94,14,45,24,21,45,0,18,9,9,18,0,24,23,1
MA-516,1200,321,812,"1,133",67,490,65,377,442,48,710,256,435,691,19,282,98,177,275,7,77,51,26
MA-517,211,79,117,196,15,137,55,67,122,15,74,24,50,74,0,33,9,24,33,0,41,41,0
MA-519,292,62,167,229,63,167,18,89,107,60,125,44,78,122,3,39,13,25,38,1,45,5,40
MD-500,162,88,53,141,21,78,55,7,62,16,84,33,46,79,5,31,15,14,29,2,25,12,13
MD-501,2607,981,997,"1,978",629,"1,653",751,619,"1,370",283,954,230,378,608,346,318,85,128,213,105,410,218,192
MD-502,145,73,59,132,13,94,57,24,81,13,51,16,35,51,0,17,4,13,17,0,31,23,8
MD-503,289,154,64,218,71,154,69,14,83,71,135,85,50,135,0,42,25,17,42,0,74,26,48
MD-504,175,94,57,151,24,54,30,0,30,24,121,64,57,121,0,23,9,14,23,0,0,0,0
