CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
MD-512,137,99,11,110,27,60,42,11,53,7,77,57,0,57,20,28,21,0,21,7,19,15,15,4
MD-513,283,162,78,240,43,202,124,35,159,43,81,38,43,81,0,34,15,19,34,0,55,37,37,18
MD-600,853,348,423,771,82,419,167,170,337,82,434,181,253,434,0,121,53,68,121,0,107,57,57,50
MD-601,1247,677,443,"1,120",127,721,402,192,594,127,526,275,251,526,0,168,90,78,168,0,173,136,136,37
ME-500,2444,843,"1,563","2,406",38,"1,124",555,537,"1,092",32,"1,320",288,"1,026","1,314",6,445,99,344,443,2,186,178,178,8
MI-500,2953,913,"1,118","2,031",922,"1,151",355,261,616,535,"1,802",558,857,"1,415",387,619,208,284,492,127,211,130,130,81
MI-501,3694,"2,058","1,374","3,432",262,"2,969","1,751",956,"2,707",262,725,307,418,725,0,230,93,137,230,0,446,369,369,77
MI-502,428,179,243,422,6,159,81,72,153,6,269,98,171,269,0,68,25,43,68,0,26,24,24,2
MI-503,877,240,52,292,585,589,204,46,250,339,288,36,6,42,246,86,13,2,15,71,259,85,85,174
MI-504,661,101,280,381,280,419,50,127,177,242,242,51,153,204,38,78,15,51,66,12,58,44,44,14
MI-505,275,156,37,193,82,154,86,8,94,60,121,70,29,99,22,39,23,8,31,8,56,21,21,35
MI-506,868,334,500,834,34,390,231,135,366,24,478,103,365,468,10,172,36,131,167,5,142,118,118,24
MI-507,985,395,576,971,14,426,267,145,412,14,559,128,431,559,0,166,44,122,166,0,38,33,33,5
MI-508,416,239,157,396,20,225,131,74,205,20,191,108,83,191,0,61,33,28,61,0,131,123,123,8
MI-509,342,214,93,307,35,210,133,44,177,33,132,81,49,130,2,37,21,15,36,1,60,38,38,22
MI-510,305,111,167,278,27,176,61,88,149,27,129,50,79,129,0,43,22,21,43,0,71,57,57,14
MI-511,114,63,46,109,5,29,22,5,27,2,85,41,41,82,3,26,14,11,25,1,7,7,7,0
MI-512,281,108,171,279,2,133,96,35,131,2,148,12,136,148,0,62,5,57,62,0,21,19,19,2
MI-513,68,26,37,63,5,28,19,4,23,5,40,7,33,40,0,14,3,11,14,0,3,3,3,0
MI-514,238,98,87,185,53,176,62,66,128,48,62,36,21,57,5,21,14,6,20,1,59,59,59,0
MI-515,140,50,86,136,4,75,29,45,74,1,65,21,41,62,3,30,9,20,29,1,17,16,16,1
MI-516,466,96,49,145,321,254,48,30,78,176,212,48,19,67,145,79,15,5,20,59,24,18,18,6
MI-517,323,107,197,304,19,121,59,43,102,19,202,48,154,202,0,64,14,50,64,0,13,1,1,12
MI-518,121,85,23,108,13,46,32,1,33,13,75,53,22,75,0,23,17,6,23,0,4,3,3,1
MI-519,299,93,204,297,2,113,62,49,111,2,186,31,155,186,0,56,10,46,56,0,3,3,3,0
MI-523,151,59,76,135,16,14,4,2,6,8,137,55,74,129,8,38,18,17,35,3,0,0,0,0
MN-500,3281,"1,920","1,105","3,025",256,"1,551",955,371,"1,326",225,"1,730",965,734,"1,699",31,495,267,219,486,9,775,670,670,105
MN-501,1377,575,709,"1,284",93,693,389,215,604,89,684,186,494,680,4,239,66,172,238,1,233,181,181,52
MN-502,417,197,216,413,4,124,93,27,120,4,293,104,189,293,0,97,35,62,97,0,70,66,66,4
MN-503,840,286,447,733,107,196,67,64,131,65,644,219,383,602,42,207,72,120,192,15,72,48,48,24
MN-504,210,31,89,120,90,69,19,8,27,42,141,12,81,93,48,45,4,28,32,13,35,12,12,23
MN-505,451,163,180,343,108,228,85,68,153,75,223,78,112,190,33,72,27,39,66,6,102,73,73,29
MN-506,261,70,155,225,36,87,35,28,63,24,174,35,127,162,12,54,11,37,48,6,41,28,28,13
MN-508,272,53,139,192,80,126,14,54,68,58,146,39,85,124,22,45,13,26,39,6,22,10,10,12
MN-509,504,129,227,356,148,262,69,60,129,133,242,60,167,227,15,93,28,61,89,4,87,33,33,54
MN-511,105,55,26,81,24,57,32,15,47,10,48,23,11,34,14,15,7,4,11,4,12,8,8,4
MO-500,643,282,132,414,229,221,89,42,131,90,422,193,90,283,139,132,67,28,95,37,74,63,63,11
MO-501,1306,580,393,973,333,842,427,184,611,231,464,153,209,362,102,161,54,78,132,29,147,136,136,11
MO-503,830,113,436,549,281,338,58,150,208,130,492,55,286,341,151,175,19,108,127,48,37,26,26,11
MO-600,418,102,281,383,35,201,40,137,177,24,217,62,144,206,11,71,19,47,66,5,22,0,0,22
MO-602,322,102,183,285,37,261,90,134,224,37,61,12,49,61,0,21,4,17,21,0,25,23,23,2
MO-603,159,105,50,155,4,96,74,18,92,4,63,31,32,63,0,23,14,9,23,0,32,28,28,4
MO-604a,1809,835,735,"1,570",239,"1,116",555,360,915,201,693,280,375,655,38,215,87,116,203,12,404,278,278,126
MO-606,1694,820,500,"1,320",374,886,410,261,671,215,808,410,239,649,159,256,137,71,208,48,194,166,166,28
MS-500,922,135,291,426,496,693,108,188,296,397,229,27,103,130,99,73,8,35,43,30,312,87,87,225
MS-501,1242,346,314,660,582,581,132,145,277,304,661,214,169,383,278,199,61,45,106,93,125,59,59,66
MS-503,633,43,92,135,498,569,21,61,82,487,64,22,31,53,11,29,9,15,24,5,85,6,6,79
MT-500,1196,404,429,833,363,752,268,213,481,271,444,136,216,352,92,133,40,71,111,22,160,107,107,53
