CoC,Count,"Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
CA-604,1152,149,62,941,378,92,24,262,169,28,9,132,0,0,0,547,120,33,394,605,29,29,547,924,0,48,876,245,0,14,231,128,0,8,120,0,0,0,373,0,22,351,551,0,26,525,228,149,14,65,133,92,10,31,41,28,1,12,174,120,11,43,54,29,3,22,73,41,12,53,20,286,41,0,41,245,261,36,0,36,225,25,5,5,20,135,6,70,0,65,6
CA-606,2847,334,138,"2,375",389,62,25,302,555,111,36,408,24,0,24,968,173,61,734,"1,879",161,77,"1,641","2,322",2,102,"2,218",290,0,19,271,386,0,27,359,24,0,24,700,0,46,654,"1,622",2,56,"1,564",525,332,36,157,99,62,6,31,169,111,9,49,268,173,15,80,257,159,21,77,169,34,54,88,81,"1,112",129,24,153,959,"1,026",125,24,149,877,86,4,4,82,527,58,363,45,164,13
CA-607,772,140,47,585,267,51,17,199,112,28,18,66,0,0,0,379,79,35,265,393,61,12,320,503,2,29,472,148,0,10,138,61,0,10,51,0,0,0,209,0,20,189,294,2,9,283,269,138,18,113,119,51,7,61,51,28,8,15,170,79,15,76,99,59,3,37,93,45,16,61,32,217,12,0,12,205,205,0,0,0,205,12,12,12,0,61,2,16,1,45,1
CA-608,2978,384,201,"2,393",550,103,43,404,540,205,47,288,0,0,0,"1,090",308,90,692,"1,888",76,111,"1,701","2,374",18,180,"2,176",406,14,39,353,224,0,32,192,0,0,0,630,14,71,545,"1,744",4,109,"1,631",604,366,21,217,144,89,4,51,316,205,15,96,460,294,19,147,144,72,2,70,180,43,92,135,45,"1,117",47,0,47,"1,070","1,025",30,0,30,995,92,17,17,75,285,18,104,1,181,17
CA-609,2321,522,183,"1,616",518,167,54,297,556,273,51,232,0,0,0,"1,074",440,105,529,"1,247",82,78,"1,087","1,401",23,116,"1,262",198,6,28,164,86,0,14,72,0,0,0,284,6,42,236,"1,117",17,74,"1,026",920,499,67,354,320,161,26,133,470,273,37,160,790,434,63,293,130,65,4,61,192,62,94,156,36,596,114,0,114,482,513,80,0,80,433,83,34,34,49,184,17,52,8,132,9
CA-611,1674,260,89,"1,325",334,41,14,279,256,113,8,135,10,0,10,600,154,22,424,"1,074",106,67,901,"1,294",22,77,"1,195",278,6,11,261,86,6,4,76,10,0,10,374,12,15,347,920,10,62,848,380,238,12,130,56,35,3,18,170,107,4,59,226,142,7,77,154,96,5,53,114,20,47,67,47,797,56,6,62,735,710,50,6,56,654,87,6,6,81,140,8,22,1,118,7
CA-612,318,67,12,239,124,15,5,104,87,50,7,30,0,0,0,211,65,12,134,107,2,0,105,200,0,3,197,97,0,3,94,0,0,0,0,0,0,0,97,0,3,94,103,0,0,103,118,67,9,42,27,15,2,10,87,50,7,30,114,65,9,40,4,2,0,2,39,9,29,38,1,108,62,0,62,46,89,43,0,43,46,19,19,19,0,23,1,11,1,12,0
CA-613,252,60,20,172,89,18,6,65,59,39,5,15,0,0,0,148,57,11,80,104,3,9,92,161,0,11,150,63,0,4,59,0,0,0,0,0,0,0,63,0,4,59,98,0,7,91,91,60,9,22,26,18,2,6,59,39,5,15,85,57,7,21,6,3,2,1,30,8,20,28,2,138,52,0,52,86,93,33,0,33,60,45,19,19,26,7,1,4,1,3,0
CA-614,2357,262,220,"1,875",169,39,10,120,66,19,1,46,0,0,0,235,58,11,166,"2,122",204,209,"1,709","1,919",31,170,"1,718",104,0,9,95,38,0,1,37,0,0,0,142,0,10,132,"1,777",31,160,"1,586",438,231,50,157,65,39,1,25,28,19,0,9,93,58,1,34,345,173,49,123,199,21,9,30,169,707,37,0,37,670,629,37,0,37,592,78,0,0,78,260,14,24,2,236,12
CO-500,2267,599,225,"1,443",729,158,67,504,533,281,48,204,0,0,0,"1,262",439,115,708,"1,005",160,110,735,"1,275",12,131,"1,132",463,5,39,419,95,0,6,89,0,0,0,558,5,45,508,717,7,86,624,992,587,94,311,266,153,28,85,438,281,42,115,704,434,70,200,288,153,24,111,313,100,130,230,83,579,165,0,165,414,457,140,0,140,317,122,25,25,97,177,13,84,7,93,6
CO-503,6316,"1,866",730,"3,720","2,819",556,293,"1,970","2,546","1,240",361,945,23,0,23,"5,388","1,796",654,"2,938",928,70,76,782,"2,609",16,264,"2,329","1,507",10,101,"1,396",422,6,113,303,23,0,23,"1,952",16,214,"1,722",657,0,50,607,"3,707","1,850",466,"1,391","1,312",546,192,574,"2,124","1,234",248,642,"3,436","1,780",440,"1,216",271,70,26,175,"1,013",307,633,940,73,889,496,23,519,370,595,347,23,370,225,294,149,149,145,358,31,267,28,91,3
CO-504,1171,245,111,815,477,71,59,347,464,164,31,269,0,0,0,941,235,90,616,230,10,21,199,780,5,83,692,365,3,51,311,200,0,12,188,0,0,0,565,3,63,499,215,2,20,193,391,240,28,123,112,68,8,36,264,164,19,81,376,232,27,117,15,8,1,6,118,33,81,114,4,312,162,0,162,150,302,155,0,155,147,10,7,7,3,150,15,101,9,49,6
CT-503,1059,211,64,784,498,115,39,344,250,74,12,164,0,0,0,748,189,51,508,311,22,13,276,725,10,48,667,329,10,30,289,122,0,5,117,0,0,0,451,10,35,406,274,0,13,261,334,201,16,117,169,105,9,55,128,74,7,47,297,179,16,102,37,22,0,15,116,55,46,101,15,252,137,0,137,115,169,82,0,82,87,83,55,55,28,84,11,67,11,17,0
CT-505,3389,602,278,"2,509","1,892",351,161,"1,380",889,217,72,600,0,0,0,"2,781",568,233,"1,980",608,34,45,529,"2,376",2,177,"2,197","1,303",2,110,"1,191",521,0,27,494,0,0,0,"1,824",2,137,"1,685",552,0,40,512,"1,013",600,101,312,589,349,51,189,368,217,45,106,957,566,96,295,56,34,5,17,359,208,129,337,22,794,541,0,541,253,703,460,0,460,243,91,81,81,10,257,14,200,13,57,1
DC-500,6865,"1,874",604,"4,387","4,010",918,310,"2,782","2,343",956,276,"1,111",0,0,0,"6,353","1,874",586,"3,893",512,0,18,494,"3,696",6,158,"3,532","2,459",6,84,"2,369",725,0,56,669,0,0,0,"3,184",6,140,"3,038",512,0,18,494,"3,169","1,868",446,855,"1,551",912,226,413,"1,618",956,220,442,"3,169","1,868",446,855,0,0,0,0,983,464,519,983,0,"2,027","1,566",0,"1,566",461,"1,764","1,303",0,"1,303",461,263,263,263,0,499,45,435,41,64,4
DE-500,946,240,61,645,516,108,26,382,410,132,35,243,10,0,10,936,240,61,635,10,0,0,10,575,1,34,540,353,0,15,338,202,1,19,182,10,0,10,565,1,34,530,10,0,0,10,371,239,27,105,163,108,11,44,208,131,16,61,371,239,27,105,0,0,0,0,119,53,66,119,0,71,61,7,68,3,65,55,7,62,3,6,6,6,0,89,2,86,2,3,0
FL-500,1049,142,103,804,335,45,39,251,228,68,25,135,0,0,0,563,113,64,386,486,29,39,418,848,22,86,740,284,11,35,238,119,1,13,105,0,0,0,403,12,48,343,445,10,38,397,201,120,17,64,51,34,4,13,109,67,12,30,160,101,16,43,41,19,1,21,69,17,41,58,11,301,18,0,18,283,214,13,0,13,201,87,5,5,82,101,6,51,3,50,3
FL-501,1909,341,86,"1,482",387,51,18,318,559,107,34,418,19,0,19,965,158,52,755,944,183,34,727,"1,326",4,66,"1,256",288,1,14,273,346,0,20,326,19,0,19,653,1,34,618,673,3,32,638,583,337,20,226,99,50,4,45,213,107,14,92,312,157,18,137,271,180,2,89,201,35,78,113,88,506,131,14,145,361,426,117,14,131,295,80,14,14,66,170,9,76,6,94,3
FL-502,3913,577,308,"3,028","1,033",101,60,872,750,43,56,651,43,0,43,"1,826",144,116,"1,566","2,087",433,192,"1,462","3,188",116,230,"2,842",905,24,52,829,653,16,27,610,43,0,43,"1,601",40,79,"1,482","1,587",76,151,"1,360",725,461,78,186,128,77,8,43,97,27,29,41,225,104,37,84,500,357,41,102,216,44,29,73,143,375,94,41,135,240,297,94,41,135,162,78,0,0,78,618,35,378,21,240,14
FL-503,520,74,31,415,118,27,6,85,207,47,18,142,0,0,0,325,74,24,227,195,0,7,188,405,3,23,379,78,0,4,74,132,3,12,117,0,0,0,210,3,16,191,195,0,7,188,115,71,8,36,40,27,2,11,75,44,6,25,115,71,8,36,0,0,0,0,37,11,26,37,0,172,66,0,66,106,172,66,0,66,106,0,0,0,0,45,4,16,1,29,3
FL-504,2176,291,69,"1,816",148,40,9,99,545,209,47,289,0,0,0,693,249,56,388,"1,483",42,13,"1,428","1,779",49,45,"1,685",83,0,4,79,243,22,28,193,0,0,0,326,22,32,272,"1,453",27,13,"1,413",397,242,24,131,65,40,5,20,302,187,19,96,367,227,24,116,30,15,0,15,138,26,100,126,12,259,3,0,3,256,259,3,0,3,256,0,0,0,0,380,18,51,2,329,16
FL-505,1658,736,257,665,154,61,36,57,210,45,40,125,19,0,19,383,106,76,201,"1,275",630,181,464,567,32,80,455,52,16,16,20,149,15,36,98,19,0,19,220,31,52,137,347,1,28,318,"1,091",704,177,210,102,45,20,37,61,30,4,27,163,75,24,64,928,629,153,146,429,40,30,70,359,352,39,0,39,313,256,25,0,25,231,96,14,14,82,265,57,99,6,166,51
FL-506,974,99,82,793,367,35,31,301,382,64,36,282,0,0,0,749,99,67,583,225,0,15,210,810,11,67,732,325,11,28,286,260,0,24,236,0,0,0,585,11,52,522,225,0,15,210,164,88,15,61,42,24,3,15,122,64,12,46,164,88,15,61,0,0,0,0,79,19,60,79,0,259,130,0,130,129,259,130,0,130,129,0,0,0,0,160,12,114,10,46,2
FL-507,4378,"1,165",261,"2,952",929,200,77,652,"1,368",464,94,810,24,0,24,"2,321",664,171,"1,486","2,057",501,90,"1,466","3,055",306,173,"2,576",616,0,53,563,644,1,53,590,24,0,24,"1,284",1,106,"1,177","1,771",305,67,"1,399","1,323",859,88,376,313,200,24,89,724,463,41,220,"1,037",663,65,309,286,196,23,67,414,99,217,316,98,"1,577",218,20,238,"1,339","1,332",213,20,233,"1,099",245,5,5,240,611,104,257,17,354,87
FL-508,1718,387,244,"1,087",213,55,20,138,200,22,24,154,0,0,0,413,77,44,292,"1,305",310,200,795,"1,074",23,121,930,155,13,14,128,176,7,20,149,0,0,0,331,20,34,277,743,3,87,653,644,364,123,157,58,42,6,10,24,15,4,5,82,57,10,15,562,307,113,142,280,16,9,25,255,528,226,0,226,302,401,142,0,142,259,127,84,84,43,300,31,152,17,148,14
FL-509,2240,802,115,"1,323",65,40,6,19,159,90,33,36,0,0,0,224,130,39,55,"2,016",672,76,"1,268",866,12,86,768,19,10,0,9,19,0,19,0,0,0,0,38,10,19,9,828,2,67,759,"1,374",790,29,555,46,30,6,10,140,90,14,36,186,120,20,46,"1,188",670,9,509,377,21,40,61,316,196,6,0,6,190,154,1,0,1,153,42,5,5,37,94,13,0,0,94,13
FL-510,2768,497,323,"1,948",856,138,140,578,815,281,47,487,0,0,0,"1,671",419,187,"1,065","1,097",78,136,883,"1,938",35,170,"1,733",584,19,55,510,379,12,20,347,0,0,0,963,31,75,857,975,4,95,876,830,462,153,215,272,119,85,68,436,269,27,140,708,388,112,208,122,74,41,7,232,67,138,205,27,365,186,0,186,179,276,120,0,120,156,89,66,66,23,324,13,204,10,120,3
FL-511,945,105,65,775,242,46,10,186,321,51,30,240,0,0,0,563,97,40,426,382,8,25,349,789,13,47,729,195,13,7,175,224,0,16,208,0,0,0,419,13,23,383,370,0,24,346,156,92,18,46,47,33,3,11,97,51,14,32,144,84,17,43,12,8,1,3,62,16,43,59,3,243,53,0,53,190,234,44,0,44,190,9,9,9,0,168,8,95,5,73,3
FL-512,1437,249,32,"1,156",72,14,7,51,161,49,12,100,0,0,0,233,63,19,151,"1,204",186,13,"1,005","1,103",37,19,"1,047",49,0,7,42,72,0,5,67,0,0,0,121,0,12,109,982,37,7,938,334,212,13,109,23,14,0,9,89,49,7,33,112,63,7,42,222,149,6,67,120,9,38,47,73,56,8,0,8,48,56,8,0,8,48,0,0,0,0,49,2,12,2,37,0
FL-513,1567,408,95,"1,064",60,17,14,29,647,248,37,362,0,0,0,707,265,51,391,860,143,44,673,"1,065",147,59,859,23,8,0,15,299,79,22,198,0,0,0,322,87,22,213,743,60,37,646,502,261,36,205,37,9,14,14,348,169,15,164,385,178,29,178,117,83,7,27,159,14,102,116,43,115,5,0,5,110,107,0,0,0,107,8,5,5,3,262,33,140,22,122,11
FL-514,530,117,30,383,163,51,10,102,162,43,9,110,0,0,0,325,94,19,212,205,23,11,171,373,39,25,309,112,30,9,73,114,9,8,97,0,0,0,226,39,17,170,147,0,8,139,157,78,5,74,51,21,1,29,48,34,1,13,99,55,2,42,58,23,3,32,66,24,14,38,28,91,1,0,1,90,91,1,0,1,90,0,0,0,0,120,11,52,6,68,5
FL-515,301,28,27,246,39,6,4,29,162,17,14,131,0,0,0,201,23,18,160,100,5,9,86,258,5,24,229,30,0,4,26,136,5,12,119,0,0,0,166,5,16,145,92,0,8,84,43,23,3,17,9,6,0,3,26,12,2,12,35,18,2,15,8,5,1,2,15,3,9,12,3,38,0,0,0,38,38,0,0,0,38,0,0,0,0,27,0,11,0,16,0
FL-517,3847,"1,784",526,"1,537",40,17,6,17,96,57,12,27,0,0,0,136,74,18,44,"3,711","1,710",508,"1,493","1,375",30,199,"1,146",15,0,4,11,12,0,8,4,0,0,0,27,0,12,15,"1,348",30,187,"1,131","2,472","1,754",327,391,25,17,2,6,84,57,4,23,109,74,6,29,"2,363","1,680",321,362,864,8,26,34,830,681,14,0,14,667,238,7,0,7,231,443,7,7,436,257,16,3,1,254,15
FL-518,1278,133,239,906,45,24,8,13,36,2,1,33,0,0,0,81,26,9,46,"1,197",107,230,860,783,26,134,623,23,9,4,10,33,0,0,33,0,0,0,56,9,4,43,727,17,130,580,495,107,105,283,22,15,4,3,3,2,1,0,25,17,5,3,470,90,100,280,222,11,1,12,210,289,19,0,19,270,207,7,0,7,200,82,12,12,70,177,6,27,1,150,5
FL-519,3305,809,475,"2,021",63,23,16,24,42,0,6,36,0,0,0,105,23,22,60,"3,200",786,453,"1,961","1,653",537,193,923,21,7,6,8,42,0,6,36,0,0,0,63,7,12,44,"1,590",530,181,879,"1,652",272,282,"1,098",42,16,10,16,0,0,0,0,42,16,10,16,"1,610",256,272,"1,082",806,21,0,21,785,"1,200",13,0,13,"1,187",815,13,0,13,802,385,0,0,385,368,103,35,10,333,93
FL-520,709,166,41,502,185,57,18,110,118,23,9,86,0,0,0,303,80,27,196,406,86,14,306,438,7,27,404,96,7,12,77,79,0,7,72,0,0,0,175,7,19,149,263,0,8,255,271,159,14,98,89,50,6,33,39,23,2,14,128,73,8,47,143,86,6,51,84,28,15,43,41,46,5,0,5,41,38,5,0,5,33,8,0,0,8,49,3,25,0,24,3
FL-600,3802,889,238,"2,675","1,470",469,116,885,"1,466",420,115,931,27,0,27,"2,963",889,231,"1,843",839,0,7,832,"2,485",31,129,"2,325",809,31,60,718,810,0,62,748,27,0,27,"1,646",31,122,"1,493",839,0,7,832,"1,317",858,109,350,661,438,56,167,656,420,53,183,"1,317",858,109,350,0,0,0,0,421,240,181,421,0,618,175,24,199,419,613,170,24,194,419,5,5,5,0,253,4,193,4,60,0
FL-601,2810,598,227,"1,985",778,265,99,414,"1,168",333,74,761,35,2,33,"1,981",598,175,"1,208",829,0,52,777,"1,900",16,148,"1,736",420,14,71,335,632,2,31,599,35,2,33,"1,087",16,104,967,813,0,44,769,910,582,79,249,358,251,28,79,536,331,43,162,894,582,71,241,16,0,8,8,289,100,185,285,4,411,114,35,149,262,408,111,35,146,262,3,3,3,0,225,27,128,21,97,6
FL-602,573,94,40,439,66,27,2,37,117,54,5,58,3,0,3,186,81,7,98,387,13,33,341,429,15,25,389,24,0,0,24,58,15,0,43,3,0,3,85,15,0,70,344,0,25,319,144,79,15,50,42,27,2,13,59,39,5,15,101,66,7,28,43,13,8,22,47,11,25,36,11,211,16,3,19,192,191,7,3,10,181,20,9,9,11,109,3,21,1,88,2
FL-603,848,69,55,724,236,39,13,184,216,15,28,173,0,0,0,452,54,41,357,396,15,14,367,699,0,49,650,146,0,7,139,191,0,28,163,0,0,0,337,0,35,302,362,0,14,348,149,69,6,74,90,39,6,45,25,15,0,10,115,54,6,55,34,15,0,19,42,26,9,35,7,180,58,0,58,122,162,47,0,47,115,18,11,11,7,70,3,39,3,31,0
FL-604,652,48,28,576,225,31,6,188,122,15,10,97,0,0,0,347,46,16,285,305,2,12,291,585,7,22,556,188,7,5,176,96,0,5,91,0,0,0,284,7,10,267,301,0,12,289,67,41,6,20,37,24,1,12,26,15,5,6,63,39,6,18,4,2,0,2,23,12,9,21,2,173,63,0,63,110,173,63,0,63,110,0,0,0,0,108,3,57,1,51,2
FL-605,1559,182,80,"1,297",259,63,11,185,337,33,35,269,16,0,16,612,96,46,470,947,86,34,827,"1,283",12,64,"1,207",172,9,6,157,278,0,31,247,16,0,16,466,9,37,420,817,3,27,787,276,170,16,90,87,54,5,28,59,33,4,22,146,87,9,50,130,83,7,40,78,22,20,42,36,373,33,16,49,324,332,25,16,41,291,41,8,8,33,168,12,75,4,93,8
FL-606,396,82,38,276,207,54,19,134,135,24,19,92,0,0,0,342,78,38,226,54,4,0,50,285,7,33,245,141,7,16,118,95,0,17,78,0,0,0,236,7,33,196,49,0,0,49,111,75,5,31,66,47,3,16,40,24,2,14,106,71,5,30,5,4,0,1,36,19,16,35,1,32,26,0,26,6,29,23,0,23,6,3,3,3,0,27,0,17,0,10,0
GA-500,5536,368,496,"4,672","2,564",250,235,"2,079","1,239",92,88,"1,059",0,0,0,"3,803",342,323,"3,138","1,733",26,173,"1,534","4,956",0,439,"4,517","2,168",0,188,"1,980","1,094",0,78,"1,016",0,0,0,"3,262",0,266,"2,996","1,694",0,173,"1,521",580,368,57,155,396,250,47,99,145,92,10,43,541,342,57,142,39,26,0,13,187,127,48,175,12,"1,431",629,0,629,802,"1,378",582,0,582,796,53,47,47,6,983,39,655,26,328,13
GA-501,7651,"1,550",612,"5,489","1,265",420,165,680,"1,069",639,61,369,0,0,0,"2,334","1,059",226,"1,049","5,317",491,386,"4,440","5,271",66,409,"4,796",595,6,92,497,93,0,7,86,0,0,0,688,6,99,583,"4,583",60,310,"4,213","2,380","1,484",203,693,670,414,73,183,976,639,54,283,"1,646","1,053",127,466,734,431,76,227,708,238,228,466,242,"1,136",169,0,169,967,848,130,0,130,718,288,39,39,249,496,47,58,9,438,38
GA-502,428,138,29,261,55,29,8,18,243,109,21,113,0,0,0,298,138,29,131,130,0,0,130,206,0,10,196,12,0,5,7,64,0,5,59,0,0,0,76,0,10,66,130,0,0,130,222,138,19,65,43,29,3,11,179,109,16,54,222,138,19,65,0,0,0,0,77,14,63,77,0,55,12,0,12,43,55,12,0,12,43,0,0,0,0,33,18,22,14,11,4
GA-503,213,24,18,171,91,9,10,72,27,15,3,9,0,0,0,118,24,13,81,95,0,5,90,171,0,12,159,76,0,7,69,0,0,0,0,0,0,0,76,0,7,69,95,0,5,90,42,24,6,12,15,9,3,3,27,15,3,9,42,24,6,12,0,0,0,0,14,5,9,14,0,67,22,0,22,45,67,22,0,22,45,0,0,0,0,15,1,3,1,12,0
GA-504,476,96,55,325,163,18,24,121,167,68,19,80,0,0,0,330,86,43,201,146,10,12,124,313,0,32,281,135,0,22,113,58,0,4,54,0,0,0,193,0,26,167,120,0,6,114,163,96,23,44,28,18,2,8,109,68,15,26,137,86,17,34,26,10,6,10,41,10,26,36,5,62,14,0,14,48,54,14,0,14,40,8,0,0,8,42,1,26,1,16,0
GA-505,294,29,30,235,179,29,26,124,55,0,2,53,0,0,0,234,29,28,177,60,0,2,58,246,0,22,224,131,0,18,113,55,0,2,53,0,0,0,186,0,20,166,60,0,2,58,48,29,8,11,48,29,8,11,0,0,0,0,48,29,8,11,0,0,0,0,19,19,0,19,0,58,32,0,32,26,58,32,0,32,26,0,0,0,0,42,0,29,0,13,0
GA-506,495,146,25,324,108,30,2,76,243,103,17,123,0,0,0,351,133,19,199,144,13,6,125,263,0,11,252,61,0,2,59,80,0,5,75,0,0,0,141,0,7,134,122,0,4,118,232,146,14,72,47,30,0,17,163,103,12,48,210,133,12,65,22,13,2,7,76,16,55,71,5,60,16,0,16,44,52,16,0,16,36,8,0,0,8,59,19,25,3,34,16
GA-507,1165,82,106,977,269,56,32,181,274,26,23,225,0,0,0,543,82,55,406,622,0,51,571,"1,052",9,93,950,195,6,26,163,235,3,16,216,0,0,0,430,9,42,379,622,0,51,571,113,73,13,27,74,50,6,18,39,23,7,9,113,73,13,27,0,0,0,0,40,25,15,40,0,131,42,0,42,89,123,34,0,34,89,8,8,8,0,68,8,39,3,29,5
GA-508,713,200,30,483,130,82,10,38,369,112,10,247,0,0,0,499,194,20,285,214,6,10,198,402,0,13,389,8,0,0,8,190,0,3,187,0,0,0,198,0,3,195,204,0,10,194,311,200,17,94,122,82,10,30,179,112,7,60,301,194,17,90,10,6,0,4,95,37,55,92,3,82,0,0,0,82,78,0,0,0,78,4,0,0,4,67,24,43,16,24,8
GU-500,1271,515,147,609,60,27,2,31,68,21,8,39,0,0,0,128,48,10,70,"1,143",467,137,539,296,0,35,261,11,0,0,11,24,0,4,20,0,0,0,35,0,4,31,261,0,31,230,975,515,112,348,49,27,2,20,44,21,4,19,93,48,6,39,882,467,106,309,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,4,2,1,30,3
HI-500,1779,364,128,"1,287",244,68,17,159,410,172,26,212,0,0,0,654,240,43,371,"1,125",124,85,916,"1,159",2,92,"1,065",129,0,9,120,112,0,5,107,0,0,0,241,0,14,227,918,2,78,838,620,362,36,222,115,68,8,39,298,172,21,105,413,240,29,144,207,122,7,78,168,37,81,118,50,395,45,0,45,350,339,25,0,25,314,56,20,20,36,160,16,27,4,133,12
HI-501,4556,"1,327",309,"2,920",982,304,68,610,"2,084",931,159,994,25,1,24,"3,091","1,235",228,"1,628","1,465",92,81,"1,292","2,196",5,110,"2,081",467,3,17,447,409,0,27,382,25,1,24,901,3,45,853,"1,295",2,65,"1,228","2,360","1,322",199,839,515,301,51,163,"1,675",931,132,612,"2,190","1,232",183,775,170,90,16,64,568,136,389,525,43,785,207,21,228,557,692,166,21,187,505,93,41,41,52,398,27,207,16,191,11
IA-500,236,74,30,132,109,25,3,81,115,49,27,39,0,0,0,224,74,30,120,12,0,0,12,115,0,10,105,72,0,0,72,31,0,10,21,0,0,0,103,0,10,93,12,0,0,12,121,74,20,27,37,25,3,9,84,49,17,18,121,74,20,27,0,0,0,0,45,15,30,45,0,65,57,0,57,8,58,50,0,50,8,7,7,7,0,11,2,9,2,2,0
IA-501,1920,703,216,"1,001",710,187,81,442,"1,149",515,129,505,0,0,0,"1,859",702,210,947,61,1,6,54,833,5,121,707,416,0,62,354,358,5,54,299,0,0,0,774,5,116,653,59,0,5,54,"1,087",698,95,294,294,187,19,88,791,510,75,206,"1,085",697,94,294,2,1,1,0,344,96,247,343,1,145,129,0,129,16,108,92,0,92,16,37,37,37,0,88,4,85,4,3,0
IA-502,928,239,82,607,384,59,46,279,483,180,31,272,0,0,0,867,239,77,551,61,0,5,56,576,5,57,514,294,0,35,259,221,5,17,199,0,0,0,515,5,52,458,61,0,5,56,352,234,25,93,90,59,11,20,262,175,14,73,352,234,25,93,0,0,0,0,106,29,77,106,0,117,72,0,72,45,111,66,0,66,45,6,6,6,0,130,4,126,4,4,0
ID-500,694,100,63,531,438,68,46,324,207,31,13,163,0,0,0,645,99,59,487,49,1,4,44,544,10,51,483,339,10,36,293,159,0,11,148,0,0,0,498,10,47,441,46,0,4,42,150,90,12,48,99,58,10,31,48,31,2,15,147,89,12,46,3,1,0,2,39,22,16,38,1,108,93,0,93,15,85,73,0,73,12,23,20,20,3,112,7,106,6,6,1
