CoC,Count,"Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
NC-516,1192,101,30,0,131,"1,061",218,0,52,0,20,0,0,72,0,146,0,974,49,10,59,915,296,16,4,20,276,6,3,0,3,3,6,3,0,3,3,0,0,0,0,36,6,30
ND-500,603,415,145,0,560,43,396,1,283,0,83,1,0,366,1,30,0,207,132,62,194,13,60,33,22,55,5,75,69,0,69,6,67,63,0,63,4,8,6,6,2,124,121,3
NE-500,1121,223,496,0,719,402,522,82,110,22,179,7,0,289,29,233,53,599,113,317,430,169,187,34,96,130,57,110,66,0,66,44,86,48,0,48,38,24,18,18,6,39,18,21
NE-501,1580,"1,055",489,0,"1,544",36,"1,164",0,832,0,296,0,0,"1,128",0,36,0,416,223,193,416,0,169,107,62,169,0,281,271,0,271,10,258,251,0,251,7,23,20,20,3,207,192,15
NE-502,847,345,433,0,778,69,524,39,224,21,231,18,0,455,39,69,0,323,121,202,323,0,77,22,55,77,0,111,72,0,72,39,101,62,0,62,39,10,10,10,0,64,43,21
NH-500,808,406,241,0,647,161,422,0,274,0,61,0,0,335,0,87,0,386,132,180,312,74,140,58,61,119,21,151,99,0,99,52,99,52,0,52,47,52,47,47,5,36,32,4
NH-501,350,109,158,4,271,79,219,0,91,0,53,0,4,148,0,71,0,131,18,105,123,8,54,8,42,50,4,45,26,4,30,15,45,26,4,30,15,0,0,0,0,27,26,1
NH-502,311,67,170,4,241,70,179,9,54,0,90,9,4,148,9,31,0,132,13,80,93,39,49,5,29,34,15,30,18,1,19,11,22,10,1,11,11,8,8,8,0,63,60,3
NJ-500,533,447,0,0,447,86,437,1,361,1,0,0,0,361,1,76,0,96,86,0,86,10,37,32,0,32,5,88,66,0,66,22,81,60,0,60,21,7,6,6,1,51,43,8
NJ-501,1521,235,"1,259",0,"1,494",27,628,3,196,0,408,3,0,604,3,24,0,893,39,851,890,3,310,14,295,309,1,52,42,0,42,10,49,39,0,39,10,3,3,3,0,27,23,4
NJ-502,1035,986,22,0,"1,008",27,474,0,443,0,10,0,0,453,0,21,0,561,543,12,555,6,183,176,4,180,3,99,95,0,95,4,88,84,0,84,4,11,11,11,0,14,12,2
NJ-503,1427,"1,040",190,0,"1,230",197,732,4,466,0,128,4,0,594,4,138,0,695,574,62,636,59,253,208,22,230,23,75,55,0,55,20,50,37,0,37,13,25,18,18,7,123,106,17
NJ-504,1505,937,481,0,"1,418",87,717,0,532,0,107,0,0,639,0,78,0,788,405,374,779,9,265,127,135,262,3,120,111,0,111,9,109,101,0,101,8,11,10,10,1,82,73,9
NJ-506,1536,"1,231",196,0,"1,427",109,541,0,372,0,92,0,0,464,0,77,0,995,859,104,963,32,377,324,43,367,10,78,54,0,54,24,52,34,0,34,18,26,20,20,6,40,30,10
NJ-507,930,470,368,0,838,92,373,0,235,0,74,0,0,309,0,64,0,557,235,294,529,28,198,84,100,184,14,75,69,0,69,6,51,47,0,47,4,24,22,22,2,23,19,4
NJ-508,559,272,267,0,539,20,247,0,194,0,42,0,0,236,0,11,0,312,78,225,303,9,103,28,72,100,3,66,61,0,61,5,44,42,0,42,2,22,19,19,3,15,14,1
NJ-509,446,244,100,20,364,82,330,0,179,0,53,0,20,252,0,78,0,116,65,47,112,4,46,28,16,44,2,54,33,0,33,21,43,22,0,22,21,11,11,11,0,16,8,8
NJ-510,545,486,12,0,498,47,343,14,294,6,10,8,0,304,14,39,0,202,192,2,194,8,73,69,1,70,3,31,27,0,27,4,29,25,0,25,4,2,2,2,0,14,10,4
NJ-511,847,409,92,0,501,346,484,0,290,0,63,0,0,353,0,131,0,363,119,29,148,215,99,37,7,44,55,51,29,0,29,22,23,8,0,8,15,28,21,21,7,77,20,57
NJ-512,80,27,24,0,51,29,35,0,19,0,3,0,0,22,0,13,0,45,8,21,29,16,17,4,7,11,6,6,5,0,5,1,6,5,0,5,1,0,0,0,0,3,1,2
NJ-513,387,244,141,0,385,2,282,3,158,0,122,3,0,280,3,2,0,105,86,19,105,0,40,33,7,40,0,32,32,0,32,0,20,20,0,20,0,12,12,12,0,224,224,0
NJ-514,843,513,279,0,792,51,416,4,288,4,88,0,0,376,4,40,0,427,225,191,416,11,158,86,68,154,4,63,55,0,55,8,52,44,0,44,8,11,11,11,0,62,54,8
NJ-515,1471,346,"1,040",0,"1,386",85,584,0,239,0,276,0,0,515,0,69,0,887,107,764,871,16,303,40,257,297,6,45,36,0,36,9,38,29,0,29,9,7,7,7,0,27,19,8
NJ-516,472,223,229,0,452,20,218,55,141,42,57,7,0,198,49,20,6,254,82,172,254,0,94,32,62,94,0,20,18,0,18,2,15,13,0,13,2,5,5,5,0,13,12,1
NM-500,1639,658,594,0,"1,252",387,"1,053",26,530,21,174,0,0,704,21,349,5,586,128,420,548,38,166,37,120,157,9,487,326,0,326,161,436,287,0,287,149,51,39,39,12,198,127,71
NM-501,1962,"1,035",466,0,"1,501",461,"1,193",122,708,73,169,18,0,877,91,316,31,769,327,297,624,145,264,108,106,214,50,630,332,0,332,298,535,277,0,277,258,95,55,55,40,166,94,72
NV-500,8003,975,"2,762",25,"3,762","4,241","7,113",412,816,10,"2,049",66,25,"2,890",76,"4,223",336,890,159,713,872,18,304,54,244,298,6,"1,191",113,3,116,"1,075","1,186",110,3,113,"1,073",5,3,3,2,"1,169",651,518
NV-501,850,409,266,0,675,175,636,9,285,1,176,6,0,461,7,175,2,214,124,90,214,0,52,36,16,52,0,100,71,0,71,29,96,67,0,67,29,4,4,4,0,65,38,27
NV-502,297,52,56,0,108,189,224,4,39,0,13,0,0,52,0,172,4,73,13,43,56,17,25,4,14,18,7,62,9,0,9,53,60,7,0,7,53,2,2,2,0,6,3,3
NY-500,694,463,219,12,694,0,360,28,251,8,97,20,12,360,28,0,0,334,212,122,334,0,119,71,48,119,0,76,64,12,76,0,76,64,12,76,0,0,0,0,0,44,44,0
NY-501,297,118,163,0,281,16,225,0,74,0,135,0,0,209,0,16,0,72,44,28,72,0,25,16,9,25,0,20,4,0,4,16,20,4,0,4,16,0,0,0,0,44,40,4
NY-503,641,489,119,0,608,33,360,7,231,7,96,0,0,327,7,33,0,281,258,23,281,0,78,70,8,78,0,89,62,0,62,27,83,59,0,59,24,6,3,3,3,80,76,4
NY-504,40,19,20,0,39,1,14,0,11,0,2,0,0,13,0,1,0,26,8,18,26,0,9,4,5,9,0,2,1,0,1,1,2,1,0,1,1,0,0,0,0,4,4,0
NY-505,834,459,351,0,810,24,619,24,348,3,256,20,0,604,23,15,1,215,111,95,206,9,60,36,22,58,2,87,79,0,79,8,84,78,0,78,6,3,1,1,2,87,84,3
NY-506,60,60,0,0,60,0,20,0,20,0,0,0,0,20,0,0,0,40,40,0,40,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-507,358,295,35,0,330,28,231,2,186,2,17,0,0,203,2,28,0,127,109,18,127,0,44,38,6,44,0,57,57,0,57,0,47,47,0,47,0,10,10,10,0,10,7,3
NY-508,1156,437,518,13,968,188,774,12,334,3,253,9,13,600,12,174,0,382,103,265,368,14,130,39,85,124,6,139,54,11,65,74,139,54,11,65,74,0,0,0,0,55,42,13
NY-510,68,26,27,0,53,15,45,0,18,0,12,0,0,30,0,15,0,23,8,15,23,0,8,3,5,8,0,13,2,0,2,11,13,2,0,2,11,0,0,0,0,1,0,1
NY-511,218,82,125,0,207,11,208,7,74,0,123,7,0,197,7,11,0,10,8,2,10,0,5,4,1,5,0,15,15,0,15,0,15,15,0,15,0,0,0,0,0,14,14,0
NY-512,267,155,35,0,190,77,132,0,45,0,10,0,0,55,0,77,0,135,110,25,135,0,46,38,8,46,0,62,42,0,42,20,32,12,0,12,20,30,30,30,0,4,1,3
NY-513,111,87,24,0,111,0,74,3,50,3,24,0,0,74,3,0,0,37,37,0,37,0,15,15,0,15,0,9,6,0,6,3,5,5,0,5,0,4,1,1,3,37,37,0
NY-514,57,22,34,0,56,1,23,6,17,6,5,0,0,22,6,1,0,34,5,29,34,0,14,2,12,14,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0
NY-516,118,117,0,0,117,1,103,0,102,0,0,0,0,102,0,1,0,15,15,0,15,0,7,7,0,7,0,12,10,0,10,2,6,5,0,5,1,6,5,5,1,7,6,1
NY-518,182,84,76,0,160,22,99,4,64,0,27,4,0,91,4,8,0,83,20,49,69,14,27,7,17,24,3,24,20,0,20,4,20,16,0,16,4,4,4,4,0,13,11,2
NY-519,177,175,2,0,177,0,80,0,80,0,0,0,0,80,0,0,0,97,95,2,97,0,29,28,1,29,0,4,4,0,4,0,3,3,0,3,0,1,1,1,0,0,0,0
NY-520,22,3,0,0,3,19,12,0,3,0,0,0,0,3,0,9,0,10,0,0,0,10,2,0,0,0,2,6,1,0,1,5,4,1,0,1,3,2,0,0,2,0,0,0
NY-522,108,24,83,0,107,1,65,0,14,0,50,0,0,64,0,1,0,43,10,33,43,0,13,4,9,13,0,8,7,0,7,1,8,7,0,7,1,0,0,0,0,5,5,0
NY-523,320,226,49,0,275,45,199,2,134,2,20,0,0,154,2,45,0,121,92,29,121,0,39,28,11,39,0,27,18,0,18,9,24,15,0,15,9,3,3,3,0,25,21,4
NY-600,51123,"41,963","6,409",103,"48,475","2,648","20,984",27,"13,498",16,"4,735",11,103,"18,336",27,"2,648",0,"30,139","28,465","1,674","30,139",0,"10,045","9,463",582,"10,045",0,"2,679",881,103,984,"1,695","2,521",723,103,826,"1,695",158,158,158,0,"4,677","4,227",450
NY-601,435,240,181,0,421,14,213,8,108,8,91,0,0,199,8,14,0,222,132,90,222,0,89,51,38,89,0,70,60,0,60,10,59,49,0,49,10,11,11,11,0,14,14,0
NY-602,448,224,42,0,266,182,313,6,146,6,0,0,0,146,6,167,0,135,78,42,120,15,51,31,15,46,5,148,47,0,47,101,139,38,0,38,101,9,9,9,0,19,9,10
NY-603,3278,"2,551",615,0,"3,166",112,"1,042",1,685,0,245,1,0,930,1,112,0,"2,236","1,866",370,"2,236",0,686,577,109,686,0,197,188,0,188,9,150,141,0,141,9,47,47,47,0,439,433,6
NY-604,1537,497,998,0,"1,495",42,683,14,394,0,247,14,0,641,14,42,0,854,103,751,854,0,288,48,240,288,0,282,240,0,240,42,282,240,0,240,42,0,0,0,0,161,152,9
NY-606,112,51,29,0,80,32,67,0,13,0,22,0,0,35,0,32,0,45,38,7,45,0,16,13,3,16,0,52,20,0,20,32,52,20,0,20,32,0,0,0,0,1,1,0
NY-607,525,423,0,0,423,102,239,0,239,0,0,0,0,239,0,0,0,286,184,0,184,102,97,62,0,62,35,88,53,0,53,35,21,21,0,21,0,67,32,32,35,11,11,0
NY-608,259,181,25,0,206,53,154,15,83,9,25,6,0,108,15,46,0,105,98,0,98,7,35,32,0,32,3,38,5,0,5,33,31,5,0,5,26,7,0,0,7,13,7,6
OH-500,1275,513,696,0,"1,209",66,730,6,327,6,337,0,0,664,6,66,0,545,186,359,545,0,167,57,110,167,0,223,200,0,200,23,223,200,0,200,23,0,0,0,0,192,186,6
OH-501,1096,430,418,11,859,237,782,0,336,0,243,0,11,590,0,192,0,314,94,175,269,45,108,41,55,96,12,207,183,4,187,20,207,183,4,187,20,0,0,0,0,90,70,20
OH-502,2262,"1,172",874,20,"2,066",196,"1,766",8,915,8,640,0,20,"1,575",8,191,0,496,257,234,491,5,173,92,79,171,2,398,301,20,321,77,398,301,20,321,77,0,0,0,0,388,349,39
OH-503,1418,"1,081",193,0,"1,274",144,"1,023",8,761,2,118,6,0,879,8,144,0,395,320,75,395,0,127,101,26,127,0,303,173,0,173,130,303,173,0,173,130,0,0,0,0,145,116,29
OH-504,223,112,96,1,209,14,124,6,89,6,20,0,1,110,6,14,0,99,23,76,99,0,32,7,25,32,0,46,31,1,32,14,42,27,1,28,14,4,4,4,0,12,10,2
OH-505,986,568,357,23,948,38,602,3,396,3,145,0,23,564,3,38,0,384,172,212,384,0,122,54,68,122,0,60,35,14,49,11,57,32,14,46,11,3,3,3,0,156,153,3
OH-506,857,346,357,8,711,146,542,59,223,18,165,17,8,396,35,146,24,315,123,192,315,0,97,42,55,97,0,210,114,8,122,88,210,114,8,122,88,0,0,0,0,76,25,51
OH-507,4431,"1,557","1,967",10,"3,534",897,"2,008",11,878,11,489,0,10,"1,377",11,631,0,"2,423",679,"1,478","2,157",266,777,216,476,692,85,492,240,8,248,244,376,159,8,167,209,116,81,81,35,200,165,35
OH-508,482,218,176,20,414,68,235,0,124,0,30,0,20,174,0,61,0,247,94,146,240,7,80,28,50,78,2,75,30,20,50,25,65,24,20,44,21,10,6,6,4,20,9,11
OK-500,249,101,62,0,163,86,135,0,37,0,39,0,0,76,0,59,0,114,64,23,87,27,36,20,7,27,9,44,16,0,16,28,39,11,0,11,28,5,5,5,0,9,3,6
OK-501,879,578,201,50,829,50,696,16,462,16,136,0,50,648,16,48,0,183,116,65,181,2,61,40,20,60,1,97,71,19,90,7,91,65,19,84,7,6,6,6,0,165,160,5
OK-502,1348,761,258,0,"1,019",329,"1,112",10,657,0,162,0,0,819,0,293,10,236,104,96,200,36,80,38,27,65,15,231,83,0,83,148,216,71,0,71,145,15,12,12,3,129,96,33
OK-503,483,62,64,0,126,357,310,42,56,9,14,6,0,70,15,240,27,173,6,50,56,117,66,3,21,24,42,159,35,0,35,124,21,0,0,0,21,138,35,35,103,0,0,0
OK-504,619,44,118,0,162,457,418,313,30,1,43,11,0,73,12,345,301,201,14,75,89,112,61,4,24,28,33,66,43,0,43,23,50,35,0,35,15,16,8,8,8,6,6,0
OK-505,266,183,50,0,233,33,160,12,103,12,32,0,0,135,12,25,0,106,80,18,98,8,39,32,4,36,3,91,77,0,77,14,59,45,0,45,14,32,32,32,0,13,11,2
OK-506,133,62,52,9,123,10,75,0,58,0,0,0,9,67,0,8,0,58,4,52,56,2,27,2,24,26,1,3,1,0,1,2,3,1,0,1,2,0,0,0,0,15,13,2
OK-507,648,271,62,0,333,315,330,29,151,22,31,0,0,182,22,148,7,318,120,31,151,167,99,37,8,45,54,102,73,0,73,29,89,60,0,60,29,13,13,13,0,19,12,7
OR-500,2140,367,338,29,734,"1,406","1,533",26,293,10,38,1,29,360,11,"1,173",15,607,74,300,374,233,190,24,97,121,69,679,101,29,130,549,633,97,29,126,507,46,4,4,42,254,68,186
OR-501,4497,904,"1,879",0,"2,783","1,714","2,815",4,439,3,774,0,0,"1,213",3,"1,602",1,"1,682",465,"1,105","1,570",112,537,142,340,482,55,971,185,0,185,786,911,138,0,138,773,60,47,47,13,457,239,218
OR-502,1049,223,349,0,572,477,580,14,196,6,155,5,0,351,11,229,3,469,27,194,221,248,205,11,89,100,105,757,313,0,313,444,401,175,0,175,226,356,138,138,218,180,163,17
OR-503,802,93,177,0,270,532,416,43,60,4,47,4,0,107,8,309,35,386,33,130,163,223,125,13,39,52,73,155,38,0,38,117,98,28,0,28,70,57,10,10,47,77,15,62
OR-505,7006,867,"1,426",0,"2,293","4,713","3,099",806,579,148,570,232,0,"1,149",380,"1,950",426,"3,907",288,856,"1,144","2,763","1,312",109,281,390,922,831,228,0,228,603,712,225,0,225,487,119,3,3,116,369,135,234
OR-506,752,67,144,10,221,531,435,4,5,2,38,0,10,53,2,382,2,317,62,106,168,149,102,19,36,55,47,189,8,10,18,171,164,0,10,10,154,25,8,8,17,62,35,27
OR-507,1008,34,105,0,139,869,567,7,5,0,11,1,0,16,1,551,6,441,29,94,123,318,152,9,33,42,110,157,4,0,4,153,98,2,0,2,96,59,2,2,57,75,0,75
PA-500,6180,"3,637","1,971",66,"5,674",506,"3,328",17,"2,251",17,505,0,66,"2,822",17,506,0,"2,852","1,386","1,466","2,852",0,918,461,457,918,0,735,277,66,343,392,649,191,66,257,392,86,86,86,0,353,286,67
PA-501,394,166,143,12,321,73,218,0,97,0,43,0,12,152,0,66,0,176,69,100,169,7,69,27,39,66,3,79,34,10,44,35,79,34,10,44,35,0,0,0,0,44,33,11
PA-502,648,327,274,0,601,47,250,0,146,0,57,0,0,203,0,47,0,398,181,217,398,0,106,55,51,106,0,55,25,0,25,30,55,25,0,25,30,0,0,0,0,29,26,3
PA-503,180,79,92,0,171,9,116,1,64,1,43,0,0,107,1,9,0,64,15,49,64,0,23,5,18,23,0,13,8,0,8,5,13,8,0,8,5,0,0,0,0,25,23,2
PA-504,410,202,198,0,400,10,152,2,111,2,31,0,0,142,2,10,0,258,91,167,258,0,78,27,51,78,0,43,34,0,34,9,43,34,0,34,9,0,0,0,0,10,10,0
PA-505,726,285,424,8,717,9,521,0,246,0,258,0,8,512,0,9,0,205,39,166,205,0,71,17,54,71,0,51,45,6,51,0,51,45,6,51,0,0,0,0,0,293,293,0
PA-506,357,187,163,0,350,7,231,0,155,0,69,0,0,224,0,7,0,126,32,94,126,0,47,7,40,47,0,8,4,0,4,4,8,4,0,4,4,0,0,0,0,18,17,1
PA-508,276,75,161,0,236,40,122,0,47,0,35,0,0,82,0,40,0,154,28,126,154,0,56,12,44,56,0,58,53,0,53,5,21,16,0,16,5,37,37,37,0,35,35,0
PA-509,1720,694,895,0,"1,589",131,663,12,344,12,201,0,0,545,12,118,0,"1,057",350,694,"1,044",13,358,117,238,355,3,114,84,0,84,30,97,67,0,67,30,17,17,17,0,85,67,18
PA-510,505,198,300,0,498,7,250,0,111,0,132,0,0,243,0,7,0,255,87,168,255,0,89,28,61,89,0,38,33,0,33,5,38,33,0,33,5,0,0,0,0,57,54,3
PA-511,505,94,378,0,472,33,180,1,37,1,110,0,0,147,1,33,0,325,57,268,325,0,118,21,97,118,0,16,7,0,7,9,7,3,0,3,4,9,4,4,5,3,0,3
PA-512,257,126,106,0,232,25,152,0,81,0,53,0,0,134,0,18,0,105,45,53,98,7,35,16,16,32,3,32,27,0,27,5,25,22,0,22,3,7,5,5,2,22,20,2
PA-600,1423,539,789,38,"1,366",57,871,0,401,0,375,0,38,814,0,57,0,552,138,414,552,0,199,43,156,199,0,209,147,33,180,29,204,142,33,175,29,5,5,5,0,225,215,10
PA-601,991,490,394,41,925,66,519,1,275,0,166,0,41,482,0,37,1,472,215,228,443,29,158,72,76,148,10,178,142,29,171,7,148,112,29,141,7,30,30,30,0,153,151,2
PA-603,119,33,79,0,112,7,65,0,4,0,54,0,0,58,0,7,0,54,29,25,54,0,19,9,10,19,0,16,9,0,9,7,9,2,0,2,7,7,7,7,0,4,4,0
PA-605,405,255,117,0,372,33,229,18,134,0,71,0,0,205,0,24,18,176,121,46,167,9,52,33,15,48,4,74,66,0,66,8,61,56,0,56,5,13,10,10,3,36,28,8
PR-502,1362,163,313,6,482,880,"1,098",0,112,0,235,0,6,353,0,745,0,264,51,78,129,135,128,23,39,62,66,"1,717",262,6,268,"1,449",792,104,6,110,682,925,158,158,767,82,24,58
PR-503,1538,167,354,31,552,986,"1,248",2,129,1,283,0,31,443,1,805,1,290,38,71,109,181,133,15,34,49,84,"1,847",271,25,296,"1,551",855,114,25,139,716,992,157,157,835,55,26,29
RI-500,1070,680,338,21,"1,039",31,652,8,485,3,115,5,21,621,8,31,0,418,195,223,418,0,137,62,75,137,0,176,157,14,171,5,176,157,14,171,5,0,0,0,0,123,121,2
SC-500,569,169,188,0,357,212,497,0,133,0,156,0,0,289,0,208,0,72,36,32,68,4,27,13,13,26,1,89,46,0,46,43,89,46,0,46,43,0,0,0,0,151,125,26
SC-501,1401,648,556,12,"1,216",185,924,0,481,0,246,0,12,739,0,185,0,477,167,310,477,0,150,53,97,150,0,57,44,12,56,1,57,44,12,56,1,0,0,0,0,115,91,24
SC-502,1621,499,420,0,919,702,"1,229",13,395,3,215,0,0,610,3,619,10,392,104,205,309,83,154,47,79,126,28,238,95,0,95,143,214,93,0,93,121,24,2,2,22,264,149,115
SC-503,1502,238,224,0,462,"1,040",855,7,201,4,128,3,0,329,7,526,0,647,37,96,133,514,196,12,33,45,151,261,34,0,34,227,144,34,0,34,110,117,0,0,117,82,24,58
SD-500,826,371,391,0,762,64,460,21,218,13,195,8,0,413,21,47,0,366,153,196,349,17,123,52,67,119,4,34,21,0,21,13,34,21,0,21,13,0,0,0,0,109,99,10
TN-500,561,249,85,0,334,227,375,0,214,0,14,0,0,228,0,147,0,186,35,71,106,80,62,10,22,32,30,35,9,0,9,26,33,7,0,7,26,2,2,2,0,55,10,45
TN-501,1942,568,"1,190",0,"1,758",184,"1,235",1,426,1,627,0,0,"1,053",1,182,0,707,142,563,705,2,210,38,171,209,1,112,32,0,32,80,111,31,0,31,80,1,1,1,0,186,162,24
TN-502,998,468,381,0,849,149,840,2,412,2,290,0,0,702,2,138,0,158,56,91,147,11,61,22,35,57,4,197,150,0,150,47,167,127,0,127,40,30,23,23,7,108,82,26
TN-503,232,85,128,0,213,19,199,0,58,0,122,0,0,180,0,19,0,33,27,6,33,0,9,7,2,9,0,31,27,0,27,4,31,27,0,27,4,0,0,0,0,33,30,3
TN-504,1938,870,693,12,"1,575",363,"1,695",8,762,4,558,1,12,"1,332",5,363,3,243,108,135,243,0,86,38,48,86,0,860,490,10,500,360,835,465,10,475,360,25,25,25,0,372,264,108
TN-506,526,132,39,0,171,355,205,2,64,0,11,0,0,75,0,130,2,321,68,28,96,225,112,24,10,34,78,46,21,0,21,25,42,17,0,17,25,4,4,4,0,7,6,1
TN-507,1894,239,181,8,428,"1,466","1,234",0,181,0,157,0,8,346,0,888,0,660,58,24,82,578,273,18,11,29,244,225,42,8,50,175,225,42,8,50,175,0,0,0,0,93,93,0
TN-509,360,139,120,0,259,101,200,9,67,9,61,0,0,128,9,72,0,160,72,59,131,29,50,24,20,44,6,66,41,0,41,25,66,41,0,41,25,0,0,0,0,69,63,6
TN-510,225,89,38,0,127,98,160,16,39,0,23,0,0,62,0,98,16,65,50,15,65,0,18,14,4,18,0,84,26,0,26,58,72,14,0,14,58,12,12,12,0,25,17,8
TN-512,437,168,33,0,201,236,332,8,99,0,33,0,0,132,0,200,8,105,69,0,69,36,29,21,0,21,8,101,48,0,48,53,79,39,0,39,40,22,9,9,13,17,5,12
TX-500,3222,"1,230",779,37,"2,046","1,176","2,339",178,802,47,328,126,37,"1,167",173,"1,172",5,883,428,451,879,4,387,164,221,385,2,676,438,0,438,238,461,223,0,223,238,215,215,215,0,351,252,99
TX-503,2362,778,564,16,"1,358","1,004","1,700",14,536,13,149,0,16,701,13,999,1,662,242,415,657,5,217,86,129,215,2,793,327,0,327,466,785,319,0,319,466,8,8,8,0,515,293,222
TX-600,3540,"1,567","1,692",38,"3,297",243,"1,591",29,698,23,646,5,38,"1,382",28,209,1,"1,949",869,"1,046","1,915",34,651,406,236,642,9,760,570,38,608,152,760,570,38,608,152,0,0,0,0,555,521,34
TX-601,2169,"1,160",853,20,"2,033",136,"1,247",10,888,10,205,0,20,"1,113",10,134,0,922,272,648,920,2,292,107,184,291,1,328,270,20,290,38,306,248,20,268,38,22,22,22,0,235,207,28
TX-603,1331,670,460,19,"1,149",182,709,7,394,7,114,0,19,527,7,182,0,622,276,346,622,0,170,77,93,170,0,100,60,0,60,40,94,54,0,54,40,6,6,6,0,134,87,47
TX-604,267,102,99,5,206,61,172,0,60,0,51,0,5,116,0,56,0,95,42,48,90,5,37,19,17,36,1,52,17,3,20,32,47,17,3,20,27,5,0,0,5,40,23,17
TX-607,14643,"2,627","1,427",0,"4,054","10,589","8,915",953,"1,616",227,883,118,0,"2,499",345,"6,416",608,"5,728","1,011",544,"1,555","4,173","1,754",352,182,534,"1,220","3,319",987,0,987,"2,332","2,901",749,0,749,"2,152",418,238,238,180,"1,840",515,"1,325"
TX-611,439,316,83,0,399,40,277,0,235,0,2,0,0,237,0,40,0,162,81,81,162,0,59,26,33,59,0,65,36,0,36,29,65,36,0,36,29,0,0,0,0,47,39,8
TX-624,234,208,0,0,208,26,193,17,167,17,0,0,0,167,17,26,0,41,41,0,41,0,12,12,0,12,0,197,145,0,145,52,161,135,0,135,26,36,10,10,26,15,10,5
TX-700,8471,"1,268","2,763",22,"4,053","4,418","6,293",312,763,9,"1,620",0,22,"2,405",9,"3,888",303,"2,178",505,"1,143","1,648",530,752,158,382,540,212,"1,914",323,0,323,"1,591","1,791",264,0,264,"1,527",123,59,59,64,"1,146",405,741
TX-701,233,101,68,0,169,64,141,0,67,0,26,0,0,93,0,48,0,92,34,42,76,16,26,11,11,22,4,19,19,0,19,0,19,19,0,19,0,0,0,0,0,13,13,0
UT-500,2033,"1,145",651,48,"1,844",189,"1,206",5,717,0,274,3,48,"1,039",3,167,2,827,428,377,805,22,241,124,113,237,4,264,174,48,222,42,257,167,48,215,42,7,7,7,0,264,245,19
UT-503,898,307,394,0,701,197,512,0,214,0,114,0,0,328,0,184,0,386,93,280,373,13,126,32,90,122,4,99,62,0,62,37,87,50,0,50,37,12,12,12,0,69,60,9
UT-504,199,54,88,0,142,57,124,0,17,0,50,0,0,67,0,57,0,75,37,38,75,0,22,10,12,22,0,20,0,0,0,20,20,0,0,0,20,0,0,0,0,12,5,7
VA-500,1084,463,558,18,"1,039",45,837,0,369,0,405,0,18,792,0,45,0,247,94,153,247,0,85,35,50,85,0,69,48,6,54,15,69,48,6,54,15,0,0,0,0,160,150,10
VA-501,609,404,146,0,550,59,419,15,298,12,69,3,0,367,15,52,0,190,106,77,183,7,61,35,24,59,2,65,45,0,45,20,65,45,0,45,20,0,0,0,0,81,62,19
VA-502,536,450,76,0,526,10,412,0,347,0,55,0,0,402,0,10,0,124,103,21,124,0,44,37,7,44,0,186,182,0,182,4,186,182,0,182,4,0,0,0,0,78,78,0
VA-503,427,166,167,0,333,94,248,3,112,3,44,0,0,156,3,92,0,179,54,123,177,2,59,18,40,58,1,81,43,0,43,38,68,31,0,31,37,13,12,12,1,56,40,16
VA-504,213,135,60,0,195,18,159,1,116,1,25,0,0,141,1,18,0,54,19,35,54,0,24,8,16,24,0,60,42,0,42,18,60,42,0,42,18,0,0,0,0,13,10,3
VA-505,736,415,198,21,634,102,511,1,306,1,91,0,21,418,1,93,0,225,109,107,216,9,68,32,33,65,3,129,74,15,89,40,129,74,15,89,40,0,0,0,0,226,216,10
