CoC,Count,"Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
IL-515,124,74,50,0,124,0,33,1,32,1,1,0,0,33,1,0,0,91,42,49,91,0,29,14,15,29,0,12,12,0,12,0,6,6,0,6,0,6,6,6,0,0,0,0
IL-516,210,94,61,3,158,52,122,0,62,0,11,0,3,76,0,46,0,88,32,50,82,6,31,12,17,29,2,49,26,3,29,20,41,26,3,29,12,8,0,0,8,9,6,3
IL-517,431,258,130,0,388,43,313,0,221,0,56,0,0,277,0,36,0,118,37,74,111,7,40,12,25,37,3,74,65,0,65,9,71,62,0,62,9,3,3,3,0,34,30,4
IL-518,263,94,141,0,235,28,129,2,75,1,40,1,0,115,2,14,0,134,19,101,120,14,43,6,33,39,4,12,12,0,12,0,12,12,0,12,0,0,0,0,0,10,10,0
IL-519,172,59,90,0,149,23,69,1,41,0,22,1,0,63,1,6,0,103,18,68,86,17,35,6,24,30,5,17,11,0,11,6,15,9,0,9,6,2,2,2,0,3,1,2
IL-520,411,241,100,0,341,70,158,0,101,0,26,0,0,127,0,31,0,253,140,74,214,39,93,47,35,82,11,30,9,0,9,21,16,4,0,4,12,14,5,5,9,31,26,5
IN-502,4612,"2,089","1,807",0,"3,896",716,"2,177",67,"1,051",27,639,24,0,"1,690",51,487,16,"2,435","1,038","1,168","2,206",229,801,319,392,711,90,251,124,0,124,127,246,119,0,119,127,5,5,5,0,342,223,119
IN-503,1647,845,604,25,"1,474",173,"1,139",0,504,0,442,0,25,971,0,168,0,508,341,162,503,5,154,102,51,153,1,294,220,25,245,49,215,141,25,166,49,79,79,79,0,345,324,21
KS-502,550,339,119,17,475,75,368,2,234,2,45,0,17,296,2,72,0,182,105,74,179,3,55,30,24,54,1,138,93,13,106,32,127,84,13,97,30,11,9,9,2,53,41,12
KS-503,577,447,80,0,527,50,405,0,338,0,22,0,0,360,0,45,0,172,109,58,167,5,43,29,12,41,2,56,44,0,44,12,46,35,0,35,11,10,9,9,1,93,82,11
KS-505,288,97,123,0,220,68,48,1,21,0,4,0,0,25,0,23,1,240,76,119,195,45,61,21,29,50,11,13,12,0,12,1,4,3,0,3,1,9,9,9,0,3,1,2
KS-507,1043,414,568,0,982,61,561,0,262,0,248,0,0,510,0,51,0,482,152,320,472,10,164,57,103,160,4,115,100,0,100,15,83,70,0,70,13,32,30,30,2,184,172,12
KY-500,2328,"1,055",572,0,"1,627",701,"1,340",36,677,36,135,0,0,812,36,528,0,988,378,437,815,173,320,134,135,269,51,233,105,0,105,128,148,76,0,76,72,85,29,29,56,170,127,43
KY-501,1532,676,694,10,"1,380",152,"1,034",20,507,18,374,0,10,891,18,143,2,498,169,320,489,9,163,54,107,161,2,187,127,1,128,59,166,106,1,107,59,21,21,21,0,223,198,25
KY-502,1370,401,911,0,"1,312",58,908,9,371,9,481,0,0,852,9,56,0,462,30,430,460,2,184,15,168,183,1,209,190,0,190,19,183,164,0,164,19,26,26,26,0,47,44,3
LA-500,518,194,245,0,439,79,325,0,120,0,126,0,0,246,0,79,0,193,74,119,193,0,63,26,37,63,0,76,39,0,39,37,64,29,0,29,35,12,10,10,2,61,49,12
LA-502,804,169,448,9,626,178,477,4,131,0,159,4,9,299,4,178,0,327,38,289,327,0,102,12,90,102,0,123,37,0,37,86,122,36,0,36,86,1,1,1,0,129,92,37
LA-503,4903,601,848,15,"1,464","3,439","4,325",30,532,8,384,13,15,931,21,"3,394",9,578,69,464,533,45,191,23,150,173,18,"2,422",137,10,147,"2,275","2,368",106,10,116,"2,252",54,31,31,23,570,188,382
LA-505,257,73,117,8,198,59,119,2,44,2,14,0,8,66,2,53,0,138,29,103,132,6,48,11,35,46,2,64,29,6,35,29,58,25,6,31,27,6,4,4,2,16,7,9
LA-506,276,85,152,0,237,39,153,0,61,0,63,0,0,124,0,29,0,123,24,89,113,10,35,8,25,33,2,22,19,0,19,3,22,19,0,19,3,0,0,0,0,46,43,3
LA-507,188,52,121,0,173,15,156,0,46,0,95,0,0,141,0,15,0,32,6,26,32,0,9,2,7,9,0,12,4,0,4,8,12,4,0,4,8,0,0,0,0,33,31,2
LA-509,826,201,466,3,670,156,767,15,198,11,430,1,3,631,12,136,3,59,3,36,39,20,26,1,16,17,9,174,70,1,71,103,97,44,1,45,52,77,26,26,51,44,40,4
MA-500,5607,"4,142","1,278",6,"5,426",181,"2,430",15,"1,307",0,936,15,6,"2,249",15,181,0,"3,177","2,835",342,"3,177",0,"1,037",923,114,"1,037",0,670,581,6,587,83,480,391,6,397,83,190,190,190,0,355,335,20
MA-502,414,346,54,0,400,14,106,3,49,0,43,0,0,92,0,14,3,308,297,11,308,0,123,120,3,123,0,186,175,0,175,11,87,76,0,76,11,99,99,99,0,4,3,1
MA-503,364,221,95,0,316,48,221,4,83,0,95,0,0,178,0,43,4,143,138,0,138,5,57,55,0,55,2,68,39,0,39,29,64,35,0,35,29,4,4,4,0,29,20,9
MA-504,2444,"2,071",326,12,"2,409",35,382,10,223,3,112,7,12,347,10,35,0,"2,062","1,848",214,"2,062",0,693,612,81,693,0,155,130,5,135,20,106,81,5,86,20,49,49,49,0,34,33,1
MA-505,374,104,250,0,354,20,258,0,30,0,208,0,0,238,0,20,0,116,74,42,116,0,43,24,19,43,0,20,10,0,10,10,18,8,0,8,10,2,2,2,0,54,53,1
MA-506,1572,968,518,13,"1,499",73,551,29,183,22,285,4,13,481,26,70,3,"1,021",785,233,"1,018",3,333,245,87,332,1,35,35,0,35,0,23,23,0,23,0,12,12,12,0,123,119,4
MA-507,717,305,353,0,658,59,484,0,109,0,316,0,0,425,0,59,0,233,196,37,233,0,88,70,18,88,0,155,125,0,125,30,66,36,0,36,30,89,89,89,0,247,244,3
MA-508,534,400,106,0,506,28,189,0,132,0,29,0,0,161,0,28,0,345,268,77,345,0,117,89,28,117,0,77,68,0,68,9,53,44,0,44,9,24,24,24,0,30,30,0
MA-509,485,260,153,0,413,72,357,0,192,0,93,0,0,285,0,72,0,128,68,60,128,0,46,25,21,46,0,191,132,0,132,59,191,132,0,132,59,0,0,0,0,62,55,7
MA-510,993,839,106,10,955,38,266,0,179,0,39,0,10,228,0,38,0,727,660,67,727,0,295,266,29,295,0,145,105,10,115,30,131,91,10,101,30,14,14,14,0,70,68,2
MA-511,1424,"1,267",97,0,"1,364",60,407,1,296,1,51,0,0,347,1,60,0,"1,017",971,46,"1,017",0,346,329,17,346,0,134,113,0,113,21,111,90,0,90,21,23,23,23,0,92,90,2
MA-515,307,161,124,0,285,22,121,0,47,0,52,0,0,99,0,22,0,186,114,72,186,0,57,33,24,57,0,25,19,0,19,6,25,19,0,19,6,0,0,0,0,5,2,3
MA-516,1872,"1,318",505,12,"1,835",37,354,0,202,0,105,0,12,319,0,35,0,"1,518","1,116",400,"1,516",2,572,419,152,571,1,146,133,0,133,13,97,84,0,84,13,49,49,49,0,66,64,2
MA-517,145,102,34,0,136,9,90,0,59,0,22,0,0,81,0,9,0,55,43,12,55,0,24,21,3,24,0,41,37,0,37,4,41,37,0,37,4,0,0,0,0,9,9,0
MA-519,249,148,75,0,223,26,73,0,28,0,19,0,0,47,0,26,0,176,120,56,176,0,56,36,20,56,0,7,0,0,0,7,7,0,0,0,7,0,0,0,0,1,1,0
MD-500,110,51,45,0,96,14,89,0,34,0,41,0,0,75,0,14,0,21,17,4,21,0,8,6,2,8,0,22,8,0,8,14,11,4,0,4,7,11,4,4,7,6,6,0
MD-501,3854,867,"1,154",38,"2,059","1,795","2,926",0,711,0,795,0,38,"1,544",0,"1,382",0,928,156,359,515,413,320,51,112,163,157,308,0,0,0,308,308,0,0,0,308,0,0,0,0,274,248,26
MD-502,189,111,66,0,177,12,78,0,45,0,21,0,0,66,0,12,0,111,66,45,111,0,36,18,18,36,0,30,25,0,25,5,23,18,0,18,5,7,7,7,0,10,5,5
MD-503,373,221,90,0,311,62,213,0,138,0,13,0,0,151,0,62,0,160,83,77,160,0,48,28,20,48,0,41,31,0,31,10,41,31,0,31,10,0,0,0,0,25,25,0
MD-504,230,73,75,0,148,82,114,0,24,0,17,0,0,41,0,73,0,116,49,58,107,9,36,16,17,33,3,54,6,0,6,48,53,6,0,6,47,1,0,0,1,9,2,7
MD-505,800,425,97,0,522,278,415,0,189,0,31,0,0,220,0,195,0,385,236,66,302,83,134,85,21,106,28,244,133,0,133,111,217,115,0,115,102,27,18,18,9,73,39,34
MD-506,167,94,14,23,131,36,113,0,51,0,3,0,23,77,0,36,0,54,43,11,54,0,20,16,4,20,0,20,1,10,11,9,19,0,10,10,9,1,1,1,0,8,8,0
MD-507,187,108,63,0,171,16,151,0,84,0,51,0,0,135,0,16,0,36,24,12,36,0,13,8,5,13,0,41,32,0,32,9,33,24,0,24,9,8,8,8,0,89,88,1
MD-508,1156,234,117,0,351,805,285,0,132,0,60,0,0,192,0,93,0,871,102,57,159,712,346,35,16,51,295,198,80,0,80,118,105,48,0,48,57,93,32,32,61,23,17,6
MD-509,285,80,133,0,213,72,169,0,70,0,29,0,0,99,0,70,0,116,10,104,114,2,39,4,34,38,1,95,38,0,38,57,95,38,0,38,57,0,0,0,0,7,3,4
MD-510,18,12,4,0,16,2,9,0,3,0,4,0,0,7,0,2,0,9,9,0,9,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,80,52,21,0,73,7,49,0,36,0,6,0,0,42,0,7,0,31,16,15,31,0,11,4,7,11,0,6,3,0,3,3,6,3,0,3,3,0,0,0,0,1,1,0
MD-512,161,121,5,0,126,35,88,0,59,0,5,0,0,64,0,24,0,73,62,0,62,11,25,21,0,21,4,20,16,0,16,4,20,16,0,16,4,0,0,0,0,9,6,3
MD-513,221,174,47,0,221,0,148,0,139,0,9,0,0,148,0,0,0,73,35,38,73,0,22,9,13,22,0,27,27,0,27,0,27,27,0,27,0,0,0,0,0,22,22,0
MD-600,641,250,225,0,475,166,279,0,74,0,39,0,0,113,0,166,0,362,176,186,362,0,113,51,62,113,0,102,11,0,11,91,102,11,0,11,91,0,0,0,0,24,13,11
MD-601,982,526,295,31,852,130,601,1,328,0,112,1,31,471,1,130,0,381,198,183,381,0,126,69,57,126,0,199,107,31,138,61,199,107,31,138,61,0,0,0,0,37,30,7
ME-500,2393,975,"1,373",12,"2,360",33,"1,287",34,688,11,554,21,12,"1,254",32,33,2,"1,106",287,819,"1,106",0,376,99,277,376,0,233,220,11,231,2,222,209,11,220,2,11,11,11,0,116,116,0
MI-500,2255,617,"1,219",0,"1,836",419,832,64,288,30,261,28,0,549,58,283,6,"1,423",329,958,"1,287",136,471,134,294,428,43,106,74,0,74,32,66,34,0,34,32,40,40,40,0,79,56,23
MI-501,3115,"1,631","1,110",21,"2,762",353,"2,565",40,"1,259",15,932,25,21,"2,212",40,353,0,550,372,178,550,0,185,117,68,185,0,378,259,12,271,107,336,217,12,229,107,42,42,42,0,518,485,33
MI-502,476,176,271,10,457,19,179,13,46,7,108,6,10,164,13,15,0,297,130,163,293,4,85,38,45,83,2,14,10,0,10,4,10,6,0,6,4,4,4,4,0,23,22,1
MI-503,607,209,92,0,301,306,491,5,160,2,49,3,0,209,5,282,0,116,49,43,92,24,52,24,16,40,12,128,54,0,54,74,127,54,0,54,73,1,0,0,1,21,13,8
MI-504,743,247,259,0,506,237,591,7,214,6,148,1,0,362,7,229,0,152,33,111,144,8,58,14,41,55,3,41,36,0,36,5,41,36,0,36,5,0,0,0,0,3,3,0
MI-505,435,188,101,0,289,146,269,5,102,2,36,3,0,138,5,131,0,166,86,65,151,15,55,28,21,49,6,69,26,0,26,43,69,26,0,26,43,0,0,0,0,29,12,17
MI-506,712,282,400,0,682,30,251,23,196,8,25,15,0,221,23,30,0,461,86,375,461,0,147,26,121,147,0,91,61,0,61,30,89,59,0,59,30,2,2,2,0,13,13,0
MI-507,729,317,391,0,708,21,265,6,176,6,68,0,0,244,6,21,0,464,141,323,464,0,154,44,110,154,0,53,43,0,43,10,51,41,0,41,10,2,2,2,0,30,27,3
MI-508,470,298,102,0,400,70,334,4,207,1,69,3,0,276,4,58,0,136,91,33,124,12,37,26,6,32,5,90,74,0,74,16,75,59,0,59,16,15,15,15,0,78,72,6
MI-509,381,214,124,0,338,43,216,1,128,1,45,0,0,173,1,43,0,165,86,79,165,0,69,40,29,69,0,81,44,0,44,37,57,20,0,20,37,24,24,24,0,29,14,15
MI-510,402,151,171,3,325,77,243,10,74,4,89,6,3,166,10,77,0,159,77,82,159,0,49,25,24,49,0,26,11,1,12,14,24,9,1,10,14,2,2,2,0,56,48,8
MI-511,118,52,44,0,96,22,44,2,31,1,7,0,0,38,1,6,1,74,21,37,58,16,22,7,11,18,4,7,2,0,2,5,4,2,0,2,2,3,0,0,3,2,0,2
MI-512,316,140,128,0,268,48,174,17,87,2,39,15,0,126,17,48,0,142,53,89,142,0,52,24,28,52,0,89,61,0,61,28,76,51,0,51,25,13,10,10,3,24,17,7
MI-513,80,63,13,0,76,4,61,0,55,0,2,0,0,57,0,4,0,19,8,11,19,0,4,2,2,4,0,6,4,0,4,2,6,4,0,4,2,0,0,0,0,9,8,1
MI-514,216,119,41,0,160,56,167,0,83,0,30,0,0,113,0,54,0,49,36,11,47,2,18,12,5,17,1,26,8,0,8,18,24,8,0,8,16,2,0,0,2,38,12,26
MI-515,113,78,31,0,109,4,81,7,53,5,24,2,0,77,7,4,0,32,25,7,32,0,7,5,2,7,0,21,17,0,17,4,21,17,0,17,4,0,0,0,0,9,9,0
MI-516,457,139,86,0,225,232,300,27,102,1,55,0,0,157,1,143,26,157,37,31,68,89,53,14,11,25,28,56,11,0,11,45,22,7,0,7,15,34,4,4,30,13,5,8
MI-517,256,63,137,0,200,56,107,1,41,0,10,1,0,51,1,56,0,149,22,127,149,0,46,10,36,46,0,40,11,0,11,29,37,8,0,8,29,3,3,3,0,23,3,20
MI-518,150,23,56,0,79,71,68,15,10,4,12,4,0,22,8,46,7,82,13,44,57,25,25,3,13,16,9,19,4,0,4,15,18,4,0,4,14,1,0,0,1,2,1,1
MI-519,322,158,161,0,319,3,124,0,87,0,34,0,0,121,0,3,0,198,71,127,198,0,59,23,36,59,0,20,20,0,20,0,15,15,0,15,0,5,5,5,0,15,15,0
MI-523,239,56,78,0,134,105,35,0,6,0,5,0,0,11,0,24,0,204,50,73,123,81,55,12,18,30,25,9,0,0,0,9,6,0,0,0,6,3,0,0,3,3,0,3
MN-500,3285,"2,094","1,047",0,"3,141",144,"1,480",23,992,11,350,12,0,"1,342",23,138,0,"1,805","1,102",697,"1,799",6,513,316,196,512,1,740,686,0,686,54,351,297,0,297,54,389,389,389,0,126,116,10
MN-501,1218,516,581,10,"1,107",111,661,22,352,3,192,19,10,554,22,107,0,557,164,389,553,4,197,44,151,195,2,383,297,10,307,76,296,218,10,228,68,87,79,79,8,64,54,10
MN-502,379,193,166,0,359,20,151,7,107,4,24,0,0,131,4,20,3,228,86,142,228,0,78,36,42,78,0,68,59,0,59,9,49,40,0,40,9,19,19,19,0,16,14,2
MN-503,853,260,407,0,667,186,304,2,89,1,83,1,0,172,2,132,0,549,171,324,495,54,188,50,121,171,17,196,95,0,95,101,99,26,0,26,73,97,69,69,28,14,10,4
MN-504,178,25,55,0,80,98,61,1,16,1,8,0,0,24,1,37,0,117,9,47,56,61,33,3,12,15,18,22,5,0,5,17,10,2,0,2,8,12,3,3,9,13,7,6
MN-505,547,171,236,0,407,140,316,49,93,9,119,38,0,212,47,104,2,231,78,117,195,36,72,27,35,62,10,169,131,0,131,38,96,64,0,64,32,73,67,67,6,43,26,17
MN-506,301,104,146,0,250,51,108,15,46,11,36,4,0,82,15,26,0,193,58,110,168,25,56,14,36,50,6,40,20,0,20,20,18,10,0,10,8,22,10,10,12,5,1,4
MN-508,254,136,88,0,224,30,129,0,90,0,23,0,0,113,0,16,0,125,46,65,111,14,38,12,22,34,4,27,19,0,19,8,25,17,0,17,8,2,2,2,0,13,10,3
MN-509,568,152,234,0,386,182,284,15,82,12,44,1,0,126,13,158,2,284,70,190,260,24,97,26,63,89,8,64,21,0,21,43,59,16,0,16,43,5,5,5,0,10,1,9
MN-511,161,33,100,0,133,28,46,0,11,0,26,0,0,37,0,9,0,115,22,74,96,19,39,8,26,34,5,9,3,0,3,6,1,0,0,0,1,8,3,3,5,5,4,1
MO-500,543,138,300,0,438,105,176,1,31,0,85,1,0,116,1,60,0,367,107,215,322,45,117,34,67,101,16,43,36,0,36,7,41,34,0,34,7,2,2,2,0,36,34,2
MO-501,1506,711,651,19,"1,381",125,927,10,476,4,310,6,19,805,10,122,0,579,235,341,576,3,184,79,104,183,1,136,83,14,97,39,116,66,14,80,36,20,17,17,3,214,196,18
MO-503,1023,285,259,0,544,479,251,8,59,4,41,1,0,100,5,151,3,772,226,218,444,328,221,78,66,144,77,92,31,0,31,61,27,7,0,7,20,65,24,24,41,5,4,1
MO-600,662,160,334,0,494,168,408,2,71,1,187,1,0,258,2,150,0,254,89,147,236,18,81,30,45,75,6,85,31,0,31,54,81,27,0,27,54,4,4,4,0,38,17,21
MO-602,1724,"1,411",255,0,"1,666",58,442,0,191,0,193,0,0,384,0,58,0,"1,282","1,220",62,"1,282",0,408,389,19,408,0,61,61,0,61,0,61,61,0,61,0,0,0,0,0,84,84,0
MO-603,186,126,28,17,171,15,119,0,72,0,15,0,17,104,0,15,0,67,54,13,67,0,21,17,4,21,0,58,35,17,52,6,56,33,17,50,6,2,2,2,0,33,31,2
MO-604a,2705,"1,033",834,9,"1,876",829,"1,453",50,596,8,387,42,9,992,50,461,0,"1,252",437,447,884,368,469,196,158,354,115,943,539,9,548,395,386,214,9,223,163,557,325,325,232,338,219,119
MO-606,2114,839,622,8,"1,469",645,"1,223",35,420,34,418,0,8,846,34,377,1,891,419,204,623,268,267,133,62,195,72,263,177,8,185,78,185,132,8,140,45,78,45,45,33,191,162,29
MS-500,1037,85,295,0,380,657,883,0,85,0,145,0,0,230,0,653,0,154,0,150,150,4,77,0,75,75,2,304,44,0,44,260,277,32,0,32,245,27,12,12,15,140,13,127
MS-501,1018,328,251,0,579,439,646,42,251,14,100,28,0,351,42,295,0,372,77,151,228,144,113,25,44,69,44,119,13,0,13,106,95,13,0,13,82,24,0,0,24,59,39,20
MS-503,358,73,10,0,83,275,265,0,38,0,7,0,0,45,0,220,0,93,35,3,38,55,31,13,1,14,17,78,10,0,10,68,78,10,0,10,68,0,0,0,0,45,19,26
MT-500,1833,716,437,0,"1,153",680,"1,166",18,443,7,210,11,0,653,18,513,0,667,273,227,500,167,192,89,80,169,23,388,213,0,213,175,304,161,0,161,143,84,52,52,32,323,147,176
NC-500,556,277,159,0,436,120,422,6,240,0,64,6,0,304,6,118,0,134,37,95,132,2,51,15,35,50,1,183,112,0,112,71,179,110,0,110,69,4,2,2,2,43,27,16
NC-501,560,205,273,0,478,82,466,9,162,6,222,3,0,384,9,82,0,94,43,51,94,0,18,9,9,18,0,80,40,0,40,40,78,38,0,38,40,2,2,2,0,230,219,11
NC-502,698,298,337,0,635,63,572,0,249,0,260,0,0,509,0,63,0,126,49,77,126,0,43,16,27,43,0,134,81,0,81,53,131,78,0,78,53,3,3,3,0,116,100,16
NC-503,2922,"1,370",896,0,"2,266",656,"1,723",7,852,5,420,2,0,"1,272",7,451,0,"1,199",518,476,994,205,410,179,153,332,78,256,138,0,138,118,194,105,0,105,89,62,33,33,29,143,102,41
NC-504,990,467,368,0,835,155,680,10,342,10,183,0,0,525,10,155,0,310,125,185,310,0,100,40,60,100,0,116,57,0,57,59,116,57,0,57,59,0,0,0,0,104,87,17
NC-505,2567,971,"1,295",0,"2,266",301,"1,526",9,822,9,403,0,0,"1,225",9,301,0,"1,041",149,892,"1,041",0,321,55,266,321,0,202,127,0,127,75,189,114,0,114,75,13,13,13,0,373,360,13
NC-506,469,219,97,0,316,153,347,7,174,5,40,2,0,214,7,133,0,122,45,57,102,20,50,16,28,44,6,44,14,0,14,30,43,14,0,14,29,1,0,0,1,28,21,7
NC-507,1116,514,414,0,928,188,843,3,398,3,261,0,0,659,3,184,0,273,116,153,269,4,94,34,58,92,2,100,48,0,48,52,97,45,0,45,52,3,3,3,0,141,113,28
NC-509,611,56,60,13,129,482,574,8,49,7,50,0,13,112,7,462,1,37,7,10,17,20,14,2,4,6,8,80,40,0,40,40,68,35,0,35,33,12,5,5,7,47,12,35
NC-511,1606,105,201,0,306,"1,300",889,60,83,0,49,0,0,132,0,757,60,717,22,152,174,543,233,7,42,49,184,339,15,0,15,324,295,15,0,15,280,44,0,0,44,152,39,113
NC-513,110,60,22,0,82,28,88,0,60,0,0,0,0,60,0,28,0,22,0,22,22,0,7,0,7,7,0,29,14,0,14,15,29,14,0,14,15,0,0,0,0,8,6,2
NC-516,1319,99,33,0,132,"1,187",350,0,55,0,10,0,0,65,0,285,0,969,44,23,67,902,292,15,7,22,270,58,16,0,16,42,46,16,0,16,30,12,0,0,12,28,5,23
ND-500,688,474,161,0,635,53,485,1,344,0,101,1,0,445,1,40,0,203,130,60,190,13,70,42,22,64,6,86,78,0,78,8,81,75,0,75,6,5,3,3,2,160,144,16
NE-500,1278,208,385,0,593,685,466,63,131,26,128,0,0,259,26,207,37,812,77,257,334,478,263,27,85,112,151,136,34,0,34,102,72,17,0,17,55,64,17,17,47,28,13,15
NE-501,1530,"1,029",479,0,"1,508",22,"1,085",2,804,2,259,0,0,"1,063",2,22,0,445,225,220,445,0,151,79,72,151,0,204,199,0,199,5,191,186,0,186,5,13,13,13,0,143,141,2
NE-502,981,344,512,0,856,125,664,52,248,34,291,16,0,539,50,125,2,317,96,221,317,0,100,27,73,100,0,161,100,0,100,61,133,85,0,85,48,28,15,15,13,78,59,19
NH-500,761,506,189,0,695,66,401,0,283,0,60,0,0,343,0,58,0,360,223,129,352,8,124,73,48,121,3,132,84,0,84,48,125,78,0,78,47,7,6,6,1,43,38,5
NH-501,399,158,177,4,339,60,226,2,110,0,55,0,4,169,0,57,2,173,48,122,170,3,66,18,47,65,1,57,39,4,43,14,57,39,4,43,14,0,0,0,0,16,14,2
NH-502,336,105,189,1,295,41,205,4,85,0,85,0,1,171,0,34,4,131,20,104,124,7,50,7,40,47,3,85,52,1,53,32,55,29,1,30,25,30,23,23,7,68,64,4
NJ-500,631,556,6,0,562,69,459,0,392,0,0,0,0,392,0,67,0,172,164,6,170,2,58,55,2,57,1,117,101,0,101,16,117,101,0,101,16,0,0,0,0,53,44,9
NJ-501,454,228,194,0,422,32,284,0,186,0,72,0,0,258,0,26,0,170,42,122,164,6,65,15,47,62,3,54,45,0,45,9,54,45,0,45,9,0,0,0,0,18,17,1
NJ-502,823,773,21,0,794,29,407,1,372,1,10,0,0,382,1,25,0,416,401,11,412,4,141,137,2,139,2,75,68,0,68,7,45,38,0,38,7,30,30,30,0,19,15,4
NJ-503,1215,936,115,0,"1,051",164,672,4,469,4,87,0,0,556,4,116,0,543,467,28,495,48,191,164,11,175,16,95,65,0,65,30,76,54,0,54,22,19,11,11,8,97,82,15
NJ-504,1504,924,411,0,"1,335",169,941,7,650,0,146,7,0,796,7,145,0,563,274,265,539,24,201,97,98,195,6,178,132,0,132,46,137,105,0,105,32,41,27,27,14,80,59,21
NJ-506,2087,"1,578",215,0,"1,793",294,750,0,415,0,69,0,0,484,0,266,0,"1,337","1,163",146,"1,309",28,520,451,58,509,11,111,30,0,30,81,111,30,0,30,81,0,0,0,0,45,21,24
NJ-507,1145,604,229,0,833,312,525,0,254,0,83,0,0,337,0,188,0,620,350,146,496,124,217,120,57,177,40,63,33,0,33,30,60,30,0,30,30,3,3,3,0,35,16,19
NJ-508,650,330,265,0,595,55,272,0,201,0,41,0,0,242,0,30,0,378,129,224,353,25,131,51,74,125,6,73,59,0,59,14,56,48,0,48,8,17,11,11,6,16,12,4
NJ-509,281,113,77,19,209,72,179,0,58,0,33,0,19,110,0,69,0,102,55,44,99,3,39,21,17,38,1,37,22,0,22,15,37,22,0,22,15,0,0,0,0,14,11,3
NJ-510,649,581,17,0,598,51,449,11,392,6,14,4,0,406,10,43,1,200,189,3,192,8,68,64,1,65,3,38,36,0,36,2,36,34,0,34,2,2,2,2,0,6,3,3
NJ-511,518,396,22,0,418,100,256,0,172,0,20,0,0,192,0,64,0,262,224,2,226,36,71,62,1,63,8,39,28,0,28,11,26,19,0,19,7,13,9,9,4,18,12,6
NJ-512,78,18,31,0,49,29,27,0,8,0,6,0,0,14,0,13,0,51,10,25,35,16,20,5,9,14,6,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,2
NJ-513,295,100,172,0,272,23,177,8,32,5,135,3,0,167,8,10,0,118,68,37,105,13,41,25,12,37,4,2,0,0,0,2,2,0,0,0,2,0,0,0,0,97,93,4
NJ-514,1009,471,432,0,903,106,551,0,325,0,151,0,0,476,0,75,0,458,146,281,427,31,155,57,87,144,11,71,48,0,48,23,62,42,0,42,20,9,6,6,3,71,61,10
NJ-515,1456,354,"1,052",0,"1,406",50,512,3,219,3,247,0,0,466,3,46,0,944,135,805,940,4,296,38,256,294,2,27,20,0,20,7,27,20,0,20,7,0,0,0,0,16,16,0
NJ-516,230,168,21,0,189,41,142,0,95,0,14,0,0,109,0,33,0,88,73,7,80,8,33,26,3,29,4,45,30,0,30,15,34,21,0,21,13,11,9,9,2,5,3,2
NM-500,1431,621,423,0,"1,044",387,"1,004",31,500,26,155,0,0,655,26,349,5,427,121,268,389,38,142,36,97,133,9,428,267,0,267,161,387,238,0,238,149,41,29,29,12,187,116,71
NM-501,1814,759,594,0,"1,353",461,"1,132",48,559,4,257,13,0,816,17,316,31,682,200,337,537,145,206,59,97,156,50,644,346,0,346,298,586,328,0,328,258,58,18,18,40,158,86,72
NV-500,7323,"2,013","1,044",25,"3,082","4,241","6,581",367,"1,609",10,724,21,25,"2,358",31,"4,223",336,742,404,320,724,18,251,125,120,245,6,"1,449",358,16,374,"1,075","1,434",345,16,361,"1,073",15,13,13,2,"1,113",595,518
NV-501,869,407,298,0,705,164,749,9,303,3,282,4,0,585,7,164,2,120,104,16,120,0,38,32,6,38,0,215,208,0,208,7,111,104,0,104,7,104,104,104,0,112,92,20
